match no,runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
222,60,0,94,74,6,1,81.08,2,New Zealand,Mount Maunganui,28-Jan-19
223,44,0,-,45,6,1,97.77,2,Australia,Hyderabad (Deccan),02-Mar-19
224,116,0,-,120,10,0,96.66,1,Australia,Nagpur,05-Mar-19
225,123,0,-,95,16,1,129.47,2,Australia,Ranchi,08-Mar-19
226,7,0,-,6,1,0,116.66,1,Australia,Mohali,10-Mar-19
227,20,0,-,22,2,0,90.9,2,Australia,Delhi,13-Mar-19
228,18,0,44,34,1,0,52.94,2,South Africa,Southampton,05-Jun-19
229,82,0,128,77,4,2,106.49,1,Australia,The Oval,09-Jun-19
230,77,0,105,65,7,0,118.46,1,Pakistan,Manchester,16-Jun-19
231,67,0,105,63,5,0,106.34,1,Afghanistan,Southampton,22-Jun-19
232,72,0,146,82,8,0,87.8,1,West Indies,Manchester,27-Jun-19
233,66,0,103,76,7,0,86.84,2,England,Birmingham,30-Jun-19
234,26,0,45,27,3,0,96.29,1,Bangladesh,Birmingham,02-Jul-19
235,34,1,61,41,3,0,82.92,2,Sri Lanka,Leeds,06-Jul-19
236,1,0,8,6,0,0,16.66,2,New Zealand,Manchester,09-Jul-19
237,0,0,-,-,-,-,-,-,West Indies,Providence,08-Aug-19
238,120,0,179,125,14,1,96,1,West Indies,Port of Spain,11-Aug-19
239,114,1,127,99,14,0,115.15,2,West Indies,Port of Spain,14-Aug-19
240,4,0,-,4,1,0,100,1,West Indies,Chennai,15-Dec-19
241,0,0,-,1,0,0,0,1,West Indies,Visakhapatnam,18-Dec-19
242,85,0,-,81,9,0,104.93,2,West Indies,Cuttack,22-Dec-19
243,16,0,-,14,0,1,114.28,1,Australia,Mumbai,14-Jan-20
244,78,0,-,76,6,0,102.63,1,Australia,Rajkot,17-Jan-20
245,89,0,-,91,8,0,97.8,2,Australia,Bengaluru,19-Jan-20
246,51,0,88,63,6,0,80.95,1,New Zealand,Hamilton,05-Feb-20
247,15,0,31,25,1,0,60,2,New Zealand,Auckland,08-Feb-20
248,9,0,20,12,0,1,75,1,New Zealand,Mount Maunganui,11-Feb-20
